stamp,x,y,z,roll,pitch,yaw
1.31762e+09,-0.0120814,0.00538821,-0.00203796,-0.000304737,-8.54581e-05,-0.000104416
1.31762e+09,2.14663,0.0518633,-0.00213512,-0.00303293,-0.00335896,0.0120319
1.31762e+09,4.4345,0.118857,0.0203432,-0.0060428,-0.00483043,0.0257073
1.31762e+09,6.85992,0.214944,0.0350517,-0.00549084,0.000633181,0.038106
1.31762e+09,9.32877,0.331927,0.0475754,-0.00397892,0.000262163,0.0446942
1.31762e+09,11.9008,0.469764,0.0575579,-0.00216253,-0.000882946,0.0497606
1.31762e+09,14.5355,0.627294,0.0798932,-0.00986324,-0.00479581,0.0543335
1.31762e+09,17.2428,0.790591,0.109345,-0.00831628,-0.00134545,0.0581144
1.31762e+09,19.9946,0.954928,0.132807,-0.00800025,-0.00106362,0.0618645
1.31762e+09,22.7969,1.14471,0.137058,-0.00797004,0.0086328,0.0591707
1.31762e+09,25.6352,1.32188,0.140762,-0.00631046,0.00346601,0.0553336
1.31762e+09,28.5326,1.47839,0.153325,-0.00776511,0.00510128,0.0532861
1.31762e+09,31.4916,1.6357,0.158342,0.00800309,0.00590864,0.0563038
1.31762e+09,34.4462,1.82395,0.172746,0.00293895,0.00229507,0.0606774
1.31762e+09,36.4467,1.95751,0.180311,-0.000958697,0.00618904,0.0636611
1.31762e+09,38.4568,2.09601,0.187124,-0.00255945,0.0113832,0.0641304
1.31762e+09,41.4331,2.3138,0.170951,-0.00324978,0.0122715,0.0650433
1.31762e+09,43.4293,2.45488,0.174805,-0.00833762,0.0103095,0.0659174
1.31762e+09,46.3936,2.67394,0.178717,-0.00608103,0.00981619,0.0682362
1.31762e+09,49.3328,2.90079,0.182796,-0.0117669,0.00755531,0.0692603
1.31762e+09,52.2249,3.10106,0.191428,-0.0039134,0.0102873,0.0697903
1.31762e+09,55.1003,3.30843,0.18818,0.00284738,0.0140014,0.0718688
1.31762e+09,57.943,3.52586,0.181703,0.00611153,0.0174708,0.0746079
1.31762e+09,60.7085,3.76646,0.170747,-0.00363753,0.00698988,0.0778707
1.31762e+09,63.3632,4.00127,0.188918,-0.00806414,0.0105382,0.0809694
1.31762e+09,65.8839,4.22668,0.194537,-0.0106048,0.0124863,0.0855153
1.31762e+09,68.2892,4.4635,0.184495,-0.0123342,0.0187725,0.0891707
1.31762e+09,70.5286,4.69241,0.188633,-0.0158564,0.0121304,0.0935801
1.31762e+09,72.611,4.91158,0.185765,-0.0205164,0.00762188,0.0961696
1.31762e+09,75.0959,5.15581,0.217683,-0.00754176,-0.00120359,0.0973695
1.31762e+09,77.3597,5.36582,0.228433,-0.00963232,0.00701375,0.0800759
1.31762e+09,79.3799,5.47852,0.252671,-0.0174394,0.0116812,0.0284644
1.31762e+09,81.617,5.35621,0.257761,-0.0144687,0.0172667,-0.12027
1.31762e+09,83.5853,4.8651,0.245773,-0.019262,0.0115412,-0.374845
1.31762e+09,85.4245,3.49796,0.258556,-0.0197778,0.00667459,-0.758626
1.31762e+09,86.651,1.58937,0.280989,-0.0190931,-0.000740453,-1.10531
1.31762e+09,87.4147,-0.629006,0.322765,-0.0134146,-0.00727711,-1.33162
1.31762e+09,87.731,-2.73795,0.337243,-0.00138172,-0.0255808,-1.44198
1.31762e+09,87.9321,-5.15177,0.402509,0.00702221,-0.0163411,-1.50759
1.31762e+09,88.0206,-7.37417,0.442537,0.0127352,-0.0183938,-1.53361
1.31762e+09,88.0889,-9.8855,0.487021,0.0182417,-0.0172072,-1.5469
1.31762e+09,88.1322,-11.9594,0.528964,0.0267864,-0.0163511,-1.54455
1.31762e+09,88.1989,-14.1682,0.56846,0.028187,-0.0148305,-1.53231
1.31762e+09,88.322,-16.5376,0.604815,0.0246731,-0.0104017,-1.51974
1.31762e+09,88.4916,-18.9586,0.65338,0.0164477,-0.0195485,-1.51119
1.31762e+09,88.6707,-21.4162,0.718157,0.00855764,-0.0203872,-1.51105
1.31762e+09,88.8349,-23.8853,0.793872,0.00352683,-0.0185986,-1.51016
1.31762e+09,89.0161,-26.3405,0.866986,-0.0044393,-0.019668,-1.51386
1.31762e+09,89.1577,-28.7923,0.938447,-0.0107475,-0.0138209,-1.52905
1.31762e+09,89.2341,-31.2465,1.00704,-0.0113713,-0.0149674,-1.55632
1.31762e+09,89.2211,-33.6542,1.07594,-0.0110521,-0.0131782,-1.58776
1.31762e+09,89.143,-36.0173,1.14155,-0.0107977,-0.015092,-1.61935
1.31762e+09,88.9934,-38.2788,1.20437,-0.00806193,-0.0170421,-1.64963
1.31762e+09,88.7729,-40.5075,1.26728,-0.00563806,-0.0153335,-1.67541
1.31762e+09,88.5211,-42.6358,1.32384,0.0029413,-0.00997503,-1.68789
1.31762e+09,88.2817,-44.6489,1.37038,0.00906332,-0.00990746,-1.68929
1.31762e+09,88.0481,-47.1118,1.43908,0.00718772,-0.0131933,-1.66172
1.31762e+09,87.9824,-49.3283,1.50699,0.00427788,-0.0205499,-1.58574
1.31762e+09,88.2292,-51.4799,1.57089,-0.00081814,-0.0190996,-1.44435
1.31762e+09,88.9546,-53.4407,1.62662,-0.0109078,-0.00915422,-1.24336
1.31762e+09,90.3541,-55.4359,1.69303,-0.0112413,-0.0230922,-0.911054
1.31762e+09,92.2518,-56.8351,1.75112,-0.0157981,-0.00802311,-0.571556
1.31762e+09,94.3895,-57.5819,1.77748,-0.0285378,0.0105919,-0.32045
1.31762e+09,96.6961,-58.0987,1.75373,-0.0304472,0.0114477,-0.225434
1.31762e+09,98.8306,-58.5126,1.73564,-0.0396224,0.000218906,-0.217792
1.31762e+09,101.125,-59.0335,1.7493,-0.0499488,-0.00591196,-0.235648
1.31762e+09,103.612,-59.6736,1.76343,-0.0392023,0.00757891,-0.251114
1.31762e+09,105.593,-60.1833,1.77186,-0.0312008,-0.00809919,-0.250011
1.31762e+09,107.684,-60.7091,1.78445,-0.0400322,-0.000905823,-0.242831
1.31762e+09,109.858,-61.2157,1.80728,-0.0398601,-6.58546e-05,-0.23559
1.31762e+09,112.166,-61.741,1.81135,-0.0418271,-0.0061733,-0.223424
1.31762e+09,114.557,-62.2771,1.82915,-0.0343709,0.000367166,-0.21639
1.31762e+09,116.977,-62.8028,1.85176,-0.0346096,0.00148114,-0.215646
1.31762e+09,119.458,-63.3019,1.86111,-0.0549246,-0.00265168,-0.219777
1.31762e+09,121.98,-63.8425,1.8737,-0.0534882,-0.00397519,-0.227462
1.31762e+09,124.513,-64.4483,1.91819,-0.042319,-0.00449643,-0.230295
1.31762e+09,127.046,-65.0163,1.92361,-0.051795,0.00607474,-0.234615
1.31762e+09,129.487,-65.6004,1.98175,-0.0410422,-0.0196677,-0.234476
1.31762e+09,132.021,-66.195,2.00619,-0.0370197,0.0203662,-0.231932
1.31762e+09,134.434,-66.7262,2.00747,-0.0420787,-0.00726426,-0.227757
1.31762e+09,136.873,-67.2646,2.06115,-0.0358741,-0.00770364,-0.219595
1.31762e+09,139.273,-67.7524,2.10768,-0.0485866,-0.0097399,-0.208737
1.31762e+09,141.681,-68.2461,2.15556,-0.0447202,-0.00311831,-0.204221
1.31762e+09,144.082,-68.7148,2.19109,-0.0387075,-0.0106665,-0.190873
1.31762e+09,146.464,-69.1521,2.21564,-0.0377688,0.0104699,-0.174041
1.31762e+09,148.847,-69.5042,2.24217,-0.0349942,0.00110375,-0.158095
1.31762e+09,151.271,-69.8412,2.24803,-0.0432816,-0.00131014,-0.137365
1.31762e+09,153.737,-70.1118,2.2762,-0.0466535,-0.00978197,-0.110058
1.31762e+09,156.244,-70.3144,2.31449,-0.0544217,0.00387841,-0.0861186
1.31762e+09,158.738,-70.4797,2.31258,-0.0541507,0.00686299,-0.0674888
1.31762e+09,161.194,-70.5755,2.3377,-0.0656579,-0.00466603,-0.0559648
1.31762e+09,163.717,-70.6776,2.34148,-0.0714784,0.016388,-0.0478804
1.31762e+09,166.131,-70.7823,2.34043,-0.054088,0.00074661,-0.0290359
1.31762e+09,168.651,-70.8048,2.34423,-0.052254,0.0115504,-0.00788667
1.31762e+09,171.153,-70.8091,2.347,-0.0278941,0.00986914,0.0109556
1.31762e+09,173.659,-70.7728,2.33362,-0.0274529,0.00408866,0.0316059
1.31762e+09,176.221,-70.6258,2.33143,-0.0258692,0.0198853,0.0441503
1.31762e+09,178.728,-70.4533,2.32995,-0.0392765,-0.000818228,0.0514066
1.31762e+09,181.327,-70.3218,2.31622,-0.0374159,0.0156742,0.0533411
1.31762e+09,183.793,-70.1823,2.32304,-0.024312,-0.00184597,0.0597337
1.31762e+09,186.396,-70.0089,2.33617,-0.0285757,0.00681044,0.0641616
1.31762e+09,188.918,-69.8218,2.36913,-0.0233074,0.00242506,0.0661033
